Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-58.65,-36.19,111.74,84.38,289.41,04/24/2026
A81,28,25,-64.66,-56.19,549.33,414.81,1422.75,04/24/2026
A83,12,7,-66.88,-53.25,73.29,55.34,189.82,04/24/2026
A84,12,6,-73.24,-106.83,77.67,58.65,201.16,04/24/2026
A85,10,3,-68.1,-57.29,24.18,18.26,62.62,04/24/2026
B09B,27,10,-66.09,143.21,196.50,148.38,508.94,04/24/2026
B09G,12,7,-68.2,41.56,62.13,46.91,160.91,04/24/2026
B22A,29,25,-70.63,-178.65,554.48,418.70,1436.10,04/24/2026
B22F,14,7,-67.1,179.83,93.17,70.35,241.31,04/24/2026
B22H,8,6,-72.13,176.25,30.19,22.80,78.20,04/24/2026
C15,14,10,-65.86,143.01,82.44,62.25,213.53,04/24/2026
C18B,10,4,-66.94,47.38,42.93,32.42,111.20,04/24/2026
C18C,10,2,-68.47,39.08,20.49,15.47,53.07,04/24/2026
C21B,12,8,-64.98,95.84,99.64,75.24,258.06,04/24/2026
C24,11,3,-64.84,96.02,24.06,18.17,62.33,04/24/2026
C30,9,3,-64.78,96.28,29.47,22.25,76.33,04/24/2026
C31,9,3,-64.68,96.49,27.83,21.01,72.08,04/24/2026
C36,23,16,-67.48,146.46,330.41,249.50,855.76,04/24/2026
C39,8,4,-68.81,74.24,22.24,16.79,57.60,04/24/2026
D15A,51,22,-66.63,81.92,1172.77,885.59,3037.47,04/24/2026
D15B,20,12,-67.02,81.57,235.72,178.00,610.52,04/24/2026
D15C,14,7,-67.09,79.82,73.10,55.20,189.32,04/24/2026
D23,7,6,-69.43,74.71,42.61,32.17,110.36,04/24/2026
D32,9,6,-66.41,-47.28,41.08,31.02,106.39,04/24/2026
D33A,34,10,-65.03,-57.57,247.98,187.25,642.26,04/24/2026
D33B,21,12,-66.98,-53.44,123.81,93.49,320.68,04/24/2026
D33C,15,7,-65.45,-57.95,87.93,66.40,227.73,04/24/2026
D34,11,8,-67.16,82.05,64.02,48.34,165.80,04/24/2026
D35,28,6,-65.28,-48.68,140.18,105.85,363.06,04/24/2026
D37,30,7,-69.21,36.35,184.47,139.29,477.77,04/24/2026
